id,Super-category,Sub-category,Description,Reference Image
1,Textual Elements,Single Character,the character T,001_textual_elements_single_character_t.png
2,Textual Elements,Single Character,the character X,002_textual_elements_single_character_x.png
3,Textual Elements,Single Character,the character S,003_textual_elements_single_character_s.png
4,Textual Elements,Single Character,the character 2,004_textual_elements_single_character_2.png
5,Textual Elements,Single Character,the character A,005_textual_elements_single_character_a.png
6,Textual Elements,Single Character,the character P,006_textual_elements_single_character_p.png
7,Textual Elements,Single Character,the character 8,007_textual_elements_single_character_8.png
8,Textual Elements,Single Character,the ampersand symbol (&),008_textual_elements_single_character_ampersand.png
9,Textual Elements,Short Word,the word AI,009_textual_elements_short_word_ai.png
10,Textual Elements,Short Word,the word CAT,010_textual_elements_short_word_cat.png
11,Textual Elements,Short Word,the word DOG,011_textual_elements_short_word_dog.png
12,Textual Elements,Short Word,the word SKY,012_textual_elements_short_word_sky.png
13,Textual Elements,Short Word,the word DREAM,013_textual_elements_short_word_dream.png
14,Textual Elements,Short Word,the word MAGIC,014_textual_elements_short_word_magic.png
15,Textual Elements,Short Word,the word NATURE,015_textual_elements_short_word_nature.png
16,Textual Elements,Short Word,the word FUTURE,016_textual_elements_short_word_future.png
17,Textual Elements,Long Word,the word INTELLIGENCE,017_textual_elements_long_word_intelligence.png
18,Textual Elements,Long Word,the word SUSTAINABILITY,018_textual_elements_long_word_sustainability.png
19,Textual Elements,Long Word,the word CRYPTOCURRENCY,019_textual_elements_long_word_cryptocurrency.png
20,Textual Elements,Long Word,the word CONGRATULATIONS,020_textual_elements_long_word_congratulations.png
21,Textual Elements,Long Word,the word REVOLUTIONARY,021_textual_elements_long_word_revolutionary.png
22,Textual Elements,Long Word,the word ARCHITECTURAL,022_textual_elements_long_word_architectural.png
23,Textual Elements,Long Word,the word PHOTOGRAPHY,023_textual_elements_long_word_photography.png
24,Textual Elements,Long Word,the word PHILOSOPHY,024_textual_elements_long_word_philosophy.png
25,Textual Elements,Non-Latin Character,the Chinese character 人,025_textual_elements_non_latin_character_char_cn_ren.png
26,Textual Elements,Non-Latin Character,the Chinese character 中,026_textual_elements_non_latin_character_char_cn_zhong.png
27,Textual Elements,Non-Latin Character,the Chinese character 好,027_textual_elements_non_latin_character_char_cn_hao.png
28,Textual Elements,Non-Latin Character,the Chinese character 赢,028_textual_elements_non_latin_character_char_cn_ying.png
29,Textual Elements,Non-Latin Character,the Japanese Hiragana character あ,029_textual_elements_non_latin_character_char_jp_a.png
30,Textual Elements,Non-Latin Character,the Japanese Hiragana character の,030_textual_elements_non_latin_character_char_jp_no.png
31,Textual Elements,Non-Latin Character,the symbol ☺ (smiley face),031_textual_elements_non_latin_character_symbol_smiley.png
32,Textual Elements,Non-Latin Character,the uppercase Greek letter Ω,032_textual_elements_non_latin_character_symbol_omega.png
33,Geometry & Shapes,Basic Convex Shape,the shape of a circle,033_geometry_and_shapes_basic_convex_shape_circle.png
34,Geometry & Shapes,Basic Convex Shape,the shape of a square,034_geometry_and_shapes_basic_convex_shape_square.png
35,Geometry & Shapes,Basic Convex Shape,the shape of a triangle,035_geometry_and_shapes_basic_convex_shape_triangle.png
36,Geometry & Shapes,Basic Convex Shape,the shape of a rectangle,036_geometry_and_shapes_basic_convex_shape_rectangle.png
37,Geometry & Shapes,Basic Convex Shape,the shape of an oval,037_geometry_and_shapes_basic_convex_shape_oval.png
38,Geometry & Shapes,Basic Convex Shape,the shape of a pentagon,038_geometry_and_shapes_basic_convex_shape_pentagon.png
39,Geometry & Shapes,Basic Convex Shape,the shape of a hexagon,039_geometry_and_shapes_basic_convex_shape_hexagon.png
40,Geometry & Shapes,Basic Convex Shape,the shape of an octagon,040_geometry_and_shapes_basic_convex_shape_octagon.png
41,Geometry & Shapes,Basic Convex Shape,the shape of a rhombus,041_geometry_and_shapes_basic_convex_shape_rhombus.png
42,Geometry & Shapes,Basic Convex Shape,the shape of a parallelogram,042_geometry_and_shapes_basic_convex_shape_parallelogram.png
43,Geometry & Shapes,Basic Convex Shape,the shape of a trapezoid,043_geometry_and_shapes_basic_convex_shape_trapezoid.png
