Filename,Illusion Fidelity,Overall Visual Quality,Semantic Consistency – Scene Consistency,Semantic Consistency – Illusion Shape Consistency
ConditionalGeneration_Flux1Dev_Depth,1.8613,3.1973,0.8564,2.6787
ConditionalGeneration_PTDiffusion,2.1631,3.3418,0.8545,2.04
ConditionalGeneration_SD1.5_Depth,1.9121,3.2441,0.8906,2.6055
ConditionalGeneration_SD1.5_QRCodeMonsterV2,1.7598,3.9023,0.9141,1.9746
ConditionalGeneration_SD1.5_Tile,2.1016,3.3535,0.7197,2.4912
ConditionalGeneration_SD3.5Large_Depth,2.042,3.0859,0.8184,2.6201
ConditionalGeneration_SDXL_Depth,1.9619,3.2891,0.9473,2.5859
ConditionalGeneration_SDXL_QRCodeMonster,2.416,3.8008,0.9805,2.292
Editing_CosXL,1.2197,4.7031,0.96,1.4219
Editing_Flux1_kontext_dev,1.2617,4.5156,0.9883,1.4922
Editing_InstructPix2Pix,1.1758,4.5371,0.8223,1.3447
Editing_OmniGen1,1.248,3.7402,0.5811,1.4375
Editing_OmniGen2,1.584,3.9609,0.8477,2.0859
T2I_DeepFloyd_XL,1.4297,4.2305,0.9502,1.7783
T2I_Flux1_dev,1.6846,4.4512,0.9922,2.2529
T2I_HunyuanDiT_v1_2,1.4248,4.5801,0.9717,1.8223
T2I_JanusFlow,1.0596,4.0487,0.8955,1.1025
T2I_JanusPro_7B,1.5205,3.832,0.9854,1.8682
T2I_Lumina_Image2.0,1.5215,4.2539,0.9854,1.8545
T2I_OmniGen1,1.4551,4.375,0.9775,1.8086
T2I_OmniGen2,1.7021,3.8516,0.9521,2.3281
T2I_PixArt_Sigma,1.4766,4.416,0.9854,1.8721
T2I_SD1.5,1.0977,4.5938,0.8975,1.1924
T2I_SD3.5_Large,1.7119,4.3105,0.9863,2.3066
T2I_SD3.5_Large_Turbo,1.6836,4.1875,0.9863,2.2549
T2I_SD3.5_Medium,1.5811,4.3125,0.9912,2.0137
T2I_SDXL_Base,1.2852,4.6445,0.9609,1.5566
