Filename,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7,Type 8
ConditionalGeneration_Flux1Dev_Depth.jsonl,6,143,141,19,501,206,3,5
ConditionalGeneration_PTDiffusion.jsonl,104,102,341,61,123,20,97,59
ConditionalGeneration_SD1.5_Depth.jsonl,6,112,165,63,435,192,11,37
ConditionalGeneration_SD1.5_QRCodeMonsterV2.jsonl,18,81,435,90,179,107,25,60
ConditionalGeneration_SD1.5_Tile.jsonl,40,269,189,62,232,110,28,47
ConditionalGeneration_SD3.5Large_Depth.jsonl,18,172,131,105,357,154,17,63
ConditionalGeneration_SDXL_Depth.jsonl,26,47,177,62,434,185,26,59
ConditionalGeneration_SDXL_QRCodeMonster.jsonl,30,15,316,83,162,60,110,129
Editing_CosXL.jsonl,4,41,779,17,51,129,0,3
Editing_Flux1_kontext_dev.jsonl,2,12,755,30,128,96,0,1
Editing_InstructPix2Pix.jsonl,24,167,718,9,45,61,0,0
Editing_OmniGen1.jsonl,196,266,454,25,35,43,2,3
Editing_OmniGen2.jsonl,2,156,410,55,225,170,0,4
T2I_DeepFloyd_XL.jsonl,8,51,574,55,123,201,4,7
T2I_Flux1_dev.jsonl,2,8,371,26,148,425,4,40
T2I_HunyuanDiT_v1_2.jsonl,2,29,581,30,86,292,0,4
T2I_JanusFlow.jsonl,102,73,803,14,8,23,0,1
T2I_JanusPro_7B.jsonl,28,14,518,95,172,162,6,28
T2I_Lumina_Image2.0.jsonl,8,14,541,75,131,216,8,29
T2I_OmniGen1.jsonl,2,23,573,65,123,227,0,11
T2I_OmniGen2.jsonl,0,49,306,40,285,323,5,16
T2I_PixArt_Sigma.jsonl,12,14,556,35,114,269,0,24
T2I_SD1.5.jsonl,44,88,813,9,10,60,0,0
T2I_SD3.5_Large.jsonl,0,14,331,38,187,419,7,26
T2I_SD3.5_Large_Turbo.jsonl,2,14,357,48,205,372,8,18
T2I_SD3.5_Medium.jsonl,0,9,469,74,145,300,5,20
T2I_SDXL_Base.jsonl,18,39,709,4,56,190,0,8
