Background,Hidden Object,T2I_IF,T2I_VQ,T2I_SC,T2I_ISC,Cond_IF,Cond_VQ,Cond_SC,Cond_ISC,Edit_IF,Edit_VQ,Edit_SC,Edit_ISC
High-Frequency Texture,Textual Elements,1.497,3.817,0.988,1.738,2.266,2.965,0.891,2.664,1.309,4.031,0.838,1.509
High-Frequency Texture,Geometry & Shapes,1.421,4.462,0.992,1.721,2.215,3.051,0.938,2.857,1.244,4.194,0.847,1.478
High-Frequency Texture,Rigid Objects,1.585,4.326,0.979,2.113,1.957,3.84,0.967,2.223,1.456,4.075,0.784,1.891
High-Frequency Texture,Non-Rigid Objects,1.652,4.15,0.984,2.205,1.912,3.781,0.984,2.1,1.422,4.156,0.816,1.816
Structured Texture,Textual Elements,1.297,3.775,0.972,1.485,2.264,2.777,0.818,2.588,1.256,4.106,0.863,1.391
Structured Texture,Geometry & Shapes,1.305,4.308,0.973,1.559,2.205,2.742,0.807,2.861,1.222,4.281,0.819,1.394
Structured Texture,Rigid Objects,1.408,4.292,0.967,1.797,1.961,3.25,0.857,2.258,1.328,4.156,0.806,1.619
Structured Texture,Non-Rigid Objects,1.508,3.788,0.96,1.984,1.803,3.188,0.857,2.025,1.353,3.944,0.856,1.688
Directional Texture,Textual Elements,1.367,4.118,0.969,1.59,2.143,3.164,0.812,2.6,1.238,4.331,0.894,1.359
Directional Texture,Geometry & Shapes,1.429,4.688,0.987,1.763,2.166,3.355,0.822,2.814,1.206,4.481,0.884,1.403
Directional Texture,Rigid Objects,1.635,4.556,0.951,2.259,1.953,3.957,0.898,2.25,1.331,4.594,0.856,1.663
Directional Texture,Non-Rigid Objects,1.663,4.464,0.969,2.253,1.832,3.988,0.945,2.082,1.3,4.287,0.9,1.587
Low-Frequency Smooth Texture,Textual Elements,1.348,4.125,0.946,1.565,1.971,3.336,0.861,2.289,1.163,4.463,0.844,1.281
Low-Frequency Smooth Texture,Geometry & Shapes,1.406,4.545,0.952,1.652,2.07,3.484,0.844,2.553,1.228,4.45,0.809,1.441
Low-Frequency Smooth Texture,Rigid Objects,1.482,4.607,0.926,1.931,1.961,3.805,0.83,2.309,1.325,4.55,0.797,1.637
Low-Frequency Smooth Texture,Non-Rigid Objects,1.579,4.65,0.934,2.112,1.758,3.746,0.83,2.104,1.384,4.562,0.825,1.747
