Background,Hidden Object,IF,VQ,SC,ISC
High-Frequency Texture,Textual Elements,1.69,3.604,0.931,1.97
High-Frequency Texture,Geometry & Shapes,1.623,3.994,0.949,2.013
High-Frequency Texture,Rigid Objects,1.671,4.135,0.939,2.104
High-Frequency Texture,Non-Rigid Objects,1.686,4.042,0.953,2.102
Structured Texture,Textual Elements,1.576,3.541,0.906,1.795
Structured Texture,Geometry & Shapes,1.556,3.839,0.895,1.914
Structured Texture,Rigid Objects,1.557,3.958,0.905,1.9
Structured Texture,Non-Rigid Objects,1.567,3.639,0.91,1.942
Directional Texture,Textual Elements,1.573,3.875,0.909,1.847
Directional Texture,Geometry & Shapes,1.606,4.255,0.919,2.008
Directional Texture,Rigid Objects,1.673,4.385,0.918,2.146
Directional Texture,Non-Rigid Objects,1.646,4.291,0.949,2.079
Low-Frequency Smooth Texture,Textual Elements,1.498,3.954,0.902,1.727
Low-Frequency Smooth Texture,Geometry & Shapes,1.57,4.213,0.894,1.88
Low-Frequency Smooth Texture,Rigid Objects,1.595,4.359,0.874,1.988
Low-Frequency Smooth Texture,Non-Rigid Objects,1.596,4.366,0.883,2.042
